2016/05/01,02:30:30,121.10451389,48°39.45'N,068°34.83'W,5.75995984581E-02,1.31076082072E-01,-1.54590536780E-01,-1.93383187493E-01,1.57631067440E-01,6.73249577900E-03,7.01512744841E-03,2.84041131416E-03,5.34259230769E-03,5.85138901517E-03,-4.07116203403E-03,-2.20695736768E-03,1.19054334674E-03,1.07569304314E-04,########,########,########,########,########,########,########,-2.26E+14,6.83E+13,14.775,1.044,11.988,1.494,134,-2.3,0.6,-0.1,0.5,2.8,0.7,Nul
2016/05/01,02:45:30,121.11493056,48°39.46'N,068°34.82'W,5.76335504917E-02,1.30575271900E-01,-1.54709649674E-01,-1.93501673321E-01,1.57740979360E-01,6.56090954298E-03,6.86026990330E-03,2.83546762209E-03,5.35157473548E-03,5.84983397079E-03,-4.08485456858E-03,-2.19952913501E-03,1.19066301913E-03,1.07689923904E-04,########,########,########,########,########,########,########,-2.26E+14,6.82E+13,14.457,1.172,12.001,1.529,136,-2.3,0.5,0.0,0.7,2.8,0.6,Nul
2016/05/01,03:00:31,121.12535880,48°39.46'N,068°34.80'W,5.75656464245E-02,1.30591427066E-01,-1.55951826999E-01,-1.93541168596E-01,1.57392924946E-01,6.84688660302E-03,7.11836581181E-03,2.85060767906E-03,5.35331326989E-03,5.85356607730E-03,-4.04969806096E-03,-2.19844207657E-03,1.19006465720E-03,1.07086825954E-04,########,########,########,########,########,########,########,-2.24E+14,4.13E+13,15.465,1.198,11.991,1.492,133,-2.2,0.4,-0.1,0.6,2.7,0.5,Nul
2016/05/01,03:15:30,121.13576389,48°39.47'N,068°34.78'W,5.71072939710E-02,1.30575271900E-01,-1.54913843207E-01,-1.93402935131E-01,1.57722660707E-01,6.67530036699E-03,6.96350826670E-03,2.84473704472E-03,5.37446543857E-03,5.85698717493E-03,-4.04858785546E-03,-2.21837148130E-03,1.19078269151E-03,1.07810543494E-04,########,########,########,########,########,########,########,-2.26E+14,6.83E+13,15.701,1.326,12.012,1.476,130,-2.3,0.6,-0.1,0.7,2.8,0.6,Nul
2016/05/01,03:30:30,121.14618056,48°39.48'N,068°34.75'W,5.76335504917E-02,1.30559116733E-01,-1.54913843207E-01,-1.93442430407E-01,1.57539474173E-01,6.23680220826E-03,6.56776120698E-03,2.83639456435E-03,5.36780105666E-03,5.85263305067E-03,-4.08263415757E-03,-2.19536207766E-03,1.18611546844E-03,1.03106379481E-04,########,########,########,########,########,########,########,-2.26E+14,6.82E+13,15.844,1.108,12.100,1.511,122,-2.3,0.5,-0.2,0.5,2.7,0.6,Nul
2016/05/01,03:45:30,121.15659722,48°39.49'N,068°34.73'W,5.76675025252E-02,1.30752978735E-01,-1.55220133506E-01,-1.90401294168E-01,1.58547000107E-01,5.77923891219E-03,6.15480775335E-03,2.83732150662E-03,5.34896693386E-03,5.85449910392E-03,-4.05857970499E-03,-2.21329854191E-03,1.18240562446E-03,9.93671721882E-05,########,########,########,########,########,########,########,-2.24E+14,5.11E+12,15.392,1.096,12.041,1.341,118,-2.3,0.6,-0.1,0.8,2.8,0.6,Nul
2016/05/01,04:00:30,121.16701389,48°39.51'N,068°34.71'W,5.83635192138E-02,1.30688358068E-01,-1.55407310911E-01,-1.90993723306E-01,1.58070715120E-01,6.48464899363E-03,6.79144432769E-03,2.84164723718E-03,5.35881862886E-03,5.87160459207E-03,-4.04581234170E-03,-2.19862325298E-03,1.18539743412E-03,1.02382661940E-04,########,########,########,########,########,########,########,-2.26E+14,5.40E+13,13.716,0.992,11.996,1.432,118,-2.3,0.5,-0.1,0.7,2.8,0.6,Nul
2016/05/01,04:15:30,121.17743056,48°39.52'N,068°34.70'W,5.78372626932E-02,1.31043771738E-01,-1.55356262528E-01,-1.93580663872E-01,1.58253901653E-01,6.16054165891E-03,6.49893563137E-03,2.83763048737E-03,5.34838742239E-03,5.87658073408E-03,-4.07227223954E-03,-2.22489383193E-03,1.17031871343E-03,8.71845935891E-05,########,########,########,########,########,########,########,-2.22E+14,8.24E+12,17.684,1.230,12.138,1.308,110,-2.2,0.5,-0.2,0.7,2.7,0.6,Nul
2016/05/01,04:30:30,121.18784722,48°39.53'N,068°34.68'W,5.78542387100E-02,1.30639892567E-01,-1.55288198017E-01,-1.93975616631E-01,1.58418769533E-01,5.74110863752E-03,6.12039496555E-03,2.84350112171E-03,5.34983620107E-03,5.84205874891E-03,-4.06080011600E-03,-2.21819030489E-03,1.18946629526E-03,1.06483728003E-04,########,########,########,########,########,########,########,-2.24E+14,1.52E+13,20.310,1.409,12.076,1.574,109,-2.1,0.7,-0.2,0.8,2.6,0.8,Nul
2016/05/01,04:45:30,121.19826389,48°39.54'N,068°34.67'W,5.78202866764E-02,1.30752978735E-01,-1.55424327039E-01,-1.93817635527E-01,1.58107352427E-01,6.40838844429E-03,6.72261875209E-03,2.84535500623E-03,5.34491035357E-03,5.89866236423E-03,-4.05247357472E-03,-2.20822560253E-03,1.18228595208E-03,9.92465525981E-05,########,########,########,########,########,########,########,-2.26E+14,6.84E+13,23.804,1.858,11.654,1.461,97,-2.2,0.7,-0.3,1.0,2.6,0.7,Nul
